City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Malbork,54.0359,19.0266,74.88,56,100,10.09,PL,1659199624
Puerto Baquerizo Moreno,-0.9,-89.6,74.39,69,75,3.44,EC,1659199359
Bethel,41.3712,-73.414,86.49,47,0,10.36,US,1659199594
Comodoro Rivadavia,-45.8667,-67.5,51.66,35,0,18.41,AR,1659199630
Baykit,61.67,96.37,65.14,96,1,5.12,RU,1659199633
Ust-Kuyga,70.0167,135.6,54.63,68,100,4.38,RU,1659199635
Buin,-33.7333,-70.75,62.87,56,100,4.92,CL,1659199638
Tasiilaq,65.6145,-37.6368,50.16,66,4,1.48,GL,1659199640
Iqaluit,63.7506,-68.5145,44.33,93,100,12.66,CA,1659199642
Mount Gambier,-37.8333,140.7667,47.39,81,100,10.63,AU,1659199645
Tazovsky,67.4667,78.7,49.08,68,0,15.66,RU,1659199464
Forrest City,35.0081,-90.7898,82.08,70,100,2.17,US,1659199649
Moyale,3.5167,39.0584,74.12,48,98,11.68,KE,1659199651
Los Llanos de Aridane,28.6585,-17.9182,75.13,77,75,17.27,ES,1659199654
Smithers,54.7804,-127.1743,66.52,72,20,2.3,CA,1659199656
Bayir,37.2687,28.2167,77.52,28,0,3.51,TR,1659199658
Izumo,35.3667,132.7667,84.15,84,73,4.7,JP,1659199661
Niono,14.2526,-5.993,76.5,73,100,5.77,ML,1659199663
Bambous Virieux,-20.3428,57.7575,70.05,83,75,18.41,MU,1659199665
Kungurtug,50.5994,97.5228,51.48,80,24,2.01,RU,1659199668
New Norfolk,-42.7826,147.0587,42.3,79,100,1.01,AU,1659199398
Acapulco de Juárez,16.8634,-99.8901,81.34,76,91,2.46,MX,1659199638
Port Keats,-14.25,129.55,69.03,41,21,6.64,AU,1659199674
Amarpur,25.0333,86.9,91.76,54,100,3.29,IN,1659199677
Lorengau,-2.0226,147.2712,80.89,71,63,6.87,PG,1659199679
Bilibino,68.0546,166.4372,46.09,74,34,2.75,RU,1659199681
Ballina,-28.8667,153.5667,52.02,99,84,2.44,AU,1659199393
Lagoa,39.05,-27.9833,73.45,69,0,4.56,PT,1659199686
São Félix do Xingu,-6.6447,-51.995,97.59,24,8,3.53,BR,1659199688
Antalaha,-14.9003,50.2788,68.59,89,23,6.11,MG,1659199690
Laguna,38.421,-121.4238,77.31,68,0,8.05,US,1659199513
Nelson Bay,-32.7167,152.15,51.01,98,8,5.99,AU,1659199514
Mahébourg,-20.4081,57.7,70.09,83,75,18.41,MU,1659199697
Pindiga,9.9833,10.9333,75.13,77,100,4.32,NG,1659199699
Huarmey,-10.0681,-78.1522,67.69,70,90,8.88,PE,1659199702
Ürümqi,43.801,87.6005,79.75,36,20,8.95,CN,1659199704
Pevek,69.7008,170.3133,44.65,70,99,14.25,RU,1659199706
Nagornskiy,58.7731,57.5451,60.78,77,70,0.94,RU,1659199709
Ribas do Rio Pardo,-20.4431,-53.7592,81.59,24,0,1.39,BR,1659199711
Tahe,52.3333,124.7333,63.34,96,98,3.09,CN,1659199713
Yulara,-25.2406,130.9889,57.27,64,100,9.37,AU,1659199716
Upernavik,72.7868,-56.1549,45.14,76,97,4.16,GL,1659199718
Kaitangata,-46.2817,169.8464,36.9,91,52,9.73,NZ,1659199720
Puerto Ayacucho,5.6639,-67.6236,83.53,73,52,2.93,VE,1659199723
Gudivāda,16.45,80.9833,84.4,78,100,4.5,IN,1659199725
Faanui,-16.4833,-151.75,78.94,71,5,25.1,PF,1659199727
Fairbanks,64.8378,-147.7164,63.82,62,100,0.0,US,1659199465
Nizhniy Kuranakh,58.8353,125.4869,61.9,74,17,4.43,RU,1659199732
Buchanan,5.8808,-10.0467,77.49,73,100,7.52,LR,1659199734
Barabinsk,55.3571,78.357,61.21,83,32,6.91,RU,1659199736
Pitsunda,43.1592,40.3378,77.18,87,0,5.26,GE,1659199739
Hasaki,35.7333,140.8333,77.29,92,12,9.55,JP,1659199613
Beringovskiy,63.05,179.3167,48.85,76,100,2.37,RU,1659199743
Khatanga,71.9667,102.5,56.17,92,79,4.81,RU,1659199745
Bethanien,-26.502,17.1583,54.3,38,15,9.08,NA,1659199748
Olafsvik,64.8945,-23.7142,50.85,62,15,10.47,IS,1659199750
Acoyapa,11.9703,-85.1711,86.09,76,82,14.61,NI,1659199752
Talnakh,69.4865,88.3972,52.21,68,28,14.83,RU,1659199755
Hilo,19.7297,-155.09,79.29,94,100,6.91,US,1659199486
Wanning,18.8003,110.3967,81.95,84,64,6.33,CN,1659199759
Vrangel',42.7297,133.0839,70.86,98,72,4.18,RU,1659199761
Cockburn Town,21.4612,-71.1419,85.96,66,40,13.8,TC,1659199764
Kaohsiung City,22.6163,120.3133,83.03,88,75,3.44,TW,1659199766
Dalbandin,28.8947,64.4101,89.28,50,97,15.14,PK,1659199769
Sayyan,15.1718,44.3244,61.27,77,85,4.72,YE,1659199771
Konëvo,62.1215,39.3192,60.22,84,21,5.66,RU,1659199773
Kupang,-10.1667,123.5833,74.82,84,79,10.54,ID,1659199776
Narsaq,60.9167,-46.05,61.02,66,31,9.17,GL,1659199778
Salalah,17.0151,54.0924,77.09,94,75,6.91,OM,1659199780
Matara,5.9485,80.5353,78.19,89,96,6.87,LK,1659199783
Lebu,-37.6167,-73.65,52.56,75,100,9.91,CL,1659199691
Trairi,-3.2778,-39.2689,84.43,66,52,11.61,BR,1659199587
Atar,20.5169,-13.0499,96.3,34,95,10.11,MR,1659199789
Makakilo City,21.3469,-158.0858,76.69,77,0,10.36,US,1659199792
Buala,-8.145,159.5921,79.23,82,16,7.67,SB,1659199794
Tagusao,9.1924,117.8141,80.56,80,100,3.71,PH,1659199796
Constitución,-35.3333,-72.4167,56.5,65,100,1.07,CL,1659199690
São Gabriel da Cachoeira,-0.1303,-67.0892,87.6,62,20,3.44,BR,1659199766
Plouzané,48.3833,-4.6167,71.92,77,100,9.22,FR,1659199803
Saskylakh,71.9167,114.0833,61.81,90,100,9.04,RU,1659199708
Quatre Cocos,-20.2078,57.7625,69.91,75,73,20.36,MU,1659199807
Amarante do Maranhão,-5.5667,-46.7422,88.47,42,68,1.88,BR,1659199810
Slave Lake,55.2834,-114.769,64.38,82,100,8.05,CA,1659199524
Zhuhai,22.2769,113.5678,85.78,89,20,0.0,CN,1659199814
Tautira,-17.7333,-149.15,77.25,74,25,22.73,PF,1659199816
Aktash,50.3,87.7333,46.78,86,98,2.62,RU,1659199819
Hamilton,39.1834,-84.5333,82.63,51,0,4.61,US,1659199599
Baruun-Urt,46.6806,113.2792,59.59,85,91,5.26,MN,1659199823
Burnie,-41.0667,145.9167,44.94,73,100,11.92,AU,1659199826
Gornopravdinsk,60.05,69.9,65.53,71,41,4.85,RU,1659199828
Grindavik,63.8424,-22.4338,53.55,76,75,16.11,IS,1659199831
Turukhansk,65.8167,87.9833,61.32,66,100,16.98,RU,1659199833
Clyde River,70.4692,-68.5914,39.43,100,100,12.66,CA,1659199835
Anloga,5.7947,0.8973,76.46,79,93,18.37,GH,1659199838
Coahuayana Viejo,18.7333,-103.6833,89.55,55,90,3.83,MX,1659199840
Port Elizabeth,-33.918,25.5701,54.32,76,0,13.8,ZA,1659199842
Klaksvík,62.2266,-6.589,50.92,85,79,16.62,FO,1659199845
Chuzhou,32.3219,118.2978,76.78,96,0,4.47,CN,1659199847
Brae,60.3964,-1.353,55.54,84,76,14.81,GB,1659199849
Tsimmerbude,54.675,20.1347,68.05,57,99,12.19,RU,1659199852
Adrar,20.5022,-10.0711,97.52,29,87,5.06,MR,1659199854
Port Blair,11.6667,92.75,82.44,83,40,3.44,IN,1659199856
Marsala,37.7966,12.4352,94.93,74,0,13.8,IT,1659199859
Zhangjiakou,40.81,114.8794,69.93,86,42,6.55,CN,1659199861
Longyearbyen,78.2186,15.6401,49.84,87,75,14.97,SJ,1659199863
Nālūt,30.3333,10.85,98.51,10,0,15.66,LY,1659199866
Manaus,-3.1019,-60.025,81.1,78,75,4.61,BR,1659199868
Tambo,-14.8,-73.9167,53.71,19,79,8.59,PE,1659199871
Santa Cruz Cabrália,-16.2781,-39.0247,84.43,58,20,9.22,BR,1659199873
Benjamin Constant,-4.3831,-70.0311,86.13,78,20,5.75,BR,1659199875
Hermanus,-34.4187,19.2345,51.8,81,96,8.37,ZA,1659199878
Vilyuysk,63.7553,121.6247,61.09,96,14,4.34,RU,1659199880
Souillac,-20.5167,57.5167,70.18,83,75,18.41,MU,1659199882
São Filipe,14.8961,-24.4956,77.67,78,95,9.6,CV,1659199885
North Bend,43.4065,-124.2243,62.17,94,100,5.75,US,1659199887
Dikson,73.5069,80.5464,40.42,90,82,13.73,RU,1659199889
Chhātāpur,26.2167,87.0167,84.49,75,92,2.59,IN,1659199892
Altea,38.5989,-0.0514,88.38,78,53,4.0,ES,1659199894
Lakes Entrance,-37.8811,147.981,40.15,65,93,7.27,AU,1659199896
Sistranda,63.7256,8.834,60.76,77,80,6.02,NO,1659199899
Isangel,-19.55,169.2667,68.67,91,100,3.4,VU,1659199901
Huizhou,23.0833,114.4,80.78,87,62,0.51,CN,1659199903
Ongole,15.5,80.05,85.39,69,81,8.81,IN,1659199906
Bayanday,53.0661,105.5139,57.42,91,95,4.9,RU,1659199908
Doha,25.2867,51.5333,95.31,70,0,11.5,QA,1659199620
Novo Aripuanã,-5.1206,-60.3797,95.02,31,88,1.66,BR,1659199912
Kidal,18.4411,1.4078,100.67,22,16,9.17,ML,1659199915
Winnemucca,40.973,-117.7357,84.25,16,0,8.05,US,1659199917
Lata,40.1629,-8.3327,86.49,44,0,10.58,PT,1659199919
Nikolskoye,59.7035,30.7861,64.29,88,15,6.76,RU,1659199922
Brenham,30.1669,-96.3977,94.82,52,40,11.5,US,1659199924
Zaozyornoye,45.1582,33.2787,83.8,47,28,6.91,UA,1659199927
Alice Springs,-23.7,133.8833,44.15,45,100,0.0,AU,1659199929
Saint-François,46.4154,3.9054,87.24,25,0,6.91,FR,1659199836
Basco,20.4487,121.9702,85.06,77,78,16.24,PH,1659199933
Tessalit,20.1986,1.0114,85.24,42,38,24.7,ML,1659199936
Awjilah,29.1081,21.2869,96.3,13,0,10.54,LY,1659199938
Napuro,12.0273,124.7082,77.32,92,100,3.27,PH,1659199940
Roald,62.5833,6.1333,64.9,77,0,6.91,NO,1659199943
Manggar,-2.8833,108.2667,79.61,84,93,5.3,ID,1659199945
Yuzhno-Sukhokumsk,44.6581,45.6436,88.32,29,0,10.94,RU,1659199947
Westport,41.1415,-73.3579,87.75,46,1,5.99,US,1659199950
Ponta do Sol,32.6667,-17.1,81.01,73,0,4.47,PT,1659199952
Chapais,49.7834,-74.8492,64.18,71,99,9.44,CA,1659199954
Ponta Delgada,37.7333,-25.6667,77.72,69,40,5.75,PT,1659199957
Marsabit,2.3284,37.9899,70.43,50,76,19.77,KE,1659199959
Faya,18.3851,42.4509,73.51,53,58,4.88,SA,1659199961
Nemuro,43.3236,145.575,64.92,98,71,12.3,JP,1659199964
Santa Lucía,27.9117,-15.5407,73.76,61,20,32.21,ES,1659199938
Saldanha,-33.0117,17.9442,55.45,74,2,8.41,ZA,1659199968
Ancud,-41.8697,-73.8203,47.23,63,90,3.15,CL,1659199971
Douglas,41.3,-96.167,81.61,50,0,8.05,US,1659199881
Iranshahr,27.2025,60.6848,93.54,29,0,6.91,IR,1659199975
Kloulklubed,7.0419,134.2556,77.5,75,100,14.23,PW,1659199977
Bethal,-26.4579,29.4655,59.56,38,59,6.15,ZA,1659199980
Ust-Maya,60.4167,134.5333,63.7,84,100,4.56,RU,1659199982
Iskateley,67.6803,53.1512,62.87,58,61,10.11,RU,1659199984
Alexander City,32.944,-85.9539,87.31,84,75,5.75,US,1659199987
Sisa,-6.6167,-76.6915,84.72,49,6,3.98,PE,1659199989
Gushikawa,26.3544,127.8686,81.63,94,75,4.61,JP,1659199991
Ţahţā,26.7693,31.5021,96.78,14,1,9.78,EG,1659199994
Namwala,-15.7504,26.4384,67.51,23,6,2.44,ZM,1659199996
Vanavara,60.34,102.2797,59.83,98,85,3.36,RU,1659199998
Formosa,-26.1775,-58.1781,67.98,40,0,8.05,AR,1659200001
Alice Town,25.7167,-79.3,83.97,70,2,17.56,BS,1659200003
Tura,25.5198,90.2201,74.75,97,99,5.41,IN,1659200005
Acajutla,13.5928,-89.8275,85.21,62,62,5.12,SV,1659200008
Karatuzskoye,53.6072,92.8667,61.9,86,78,0.4,RU,1659200010
Gloversville,43.0528,-74.3438,77.11,65,100,12.66,US,1659199831
Esperance,-33.8667,121.9,49.24,73,94,18.99,AU,1659200015
Vanimo,-2.6741,141.3028,76.3,90,68,5.19,PG,1659200017
Kenora,49.8167,-94.4337,72.57,64,20,9.22,CA,1659200019
Pontianak,-0.0333,109.3333,76.98,94,20,4.61,ID,1659200021
Maniitsoq,65.4167,-52.9,44.62,88,100,12.3,GL,1659200024
Soyo,-6.1349,12.3689,71.82,84,18,7.29,AO,1659200026
Krasnosel'kup,65.7,82.4667,59.4,62,84,18.37,RU,1659200028
Qeshm,26.9581,56.2719,89.49,75,83,6.49,IR,1659200031
Ilulissat,69.2167,-51.1,42.24,94,100,5.5,GL,1659200033
Tiksi,71.6872,128.8694,48.18,81,89,2.8,RU,1659200035
Prince Rupert,54.3161,-130.3201,64.09,94,100,2.3,CA,1659199808
Lianzhou,24.7811,112.3825,76.44,86,96,1.88,CN,1659200040
Gusinoye Ozero,51.1144,106.2614,60.3,82,31,3.83,RU,1659200042
Vostok,46.4856,135.8833,65.14,98,83,4.47,RU,1659200044
Roccastrada,43.0099,11.1665,87.55,48,11,9.24,IT,1659200047
Port Hardy,50.6996,-127.4199,62.78,88,20,3.44,CA,1659200049
Rio Grande,-32.035,-52.0986,68.11,57,1,0.56,BR,1659199818
Necochea,-38.5473,-58.7368,59.25,52,74,5.26,AR,1659200054
Laas,46.6166,10.7002,76.69,52,75,6.89,IT,1659200056
La Ronge,55.1001,-105.2842,64.65,55,100,8.05,CA,1659200058
Hambantota,6.1241,81.1185,79.9,84,100,12.91,LK,1659200061
Sulphur,30.2366,-93.3774,80.58,60,100,2.26,US,1659200063
Camacha,33.0833,-16.3333,69.22,83,40,14.97,PT,1659200065
Nicolás R Casillas,20.5333,-103.4667,72.52,63,94,4.81,MX,1659200068
Khāsh,28.2211,61.2158,81.27,52,79,6.44,IR,1659200070
Aldan,58.6031,125.3894,60.78,69,39,7.74,RU,1659200072
Pisco,-13.7,-76.2167,62.65,77,0,9.22,PE,1659200075
Nuristan,35.3,70.8333,51.13,75,32,3.2,AF,1659200077
Kīhei,20.785,-156.4656,77.65,75,73,4.38,US,1659200079
Kalmar,56.6616,16.3616,70.14,58,27,9.22,SE,1659200082
Sangīn,32.0728,64.8359,97.66,14,22,8.08,AF,1659200084
Folldal,62.1325,9.9968,64.94,44,58,16.46,NO,1659200086
Kiryat Gat,31.61,34.7642,84.81,100,0,8.14,IL,1659199801
Lugazi,0.3772,32.9197,66.24,87,77,0.67,UG,1659200091
Yar-Sale,66.8333,70.8333,53.55,65,2,10.54,RU,1659200093
Dongli,23.5656,116.8194,84.18,84,24,4.47,CN,1659200095
Helmstedt,52.2279,11.0099,75.07,77,100,3.76,DE,1659200098
Ostrovnoy,68.0531,39.5131,55.71,97,65,7.36,RU,1659199991
Sarangani,5.4033,125.4636,79.41,85,100,10.56,PH,1659200102
Hualmay,-11.0964,-77.6139,66.96,69,15,7.47,PE,1659200104
Port Lincoln,-34.7333,135.8667,54.21,78,100,13.6,AU,1659200107
Malindi,-3.2175,40.1191,75.06,85,56,13.51,KE,1659200109
Manadhoo,5.7667,73.3833,80.46,82,84,15.23,MV,1659200111
Cidreira,-30.1811,-50.2056,59.77,60,1,4.76,BR,1659200114
Valparaíso,-33.0393,-71.6273,55.04,94,100,8.05,CL,1659200116
Cabimas,10.3883,-71.4399,87.64,63,28,7.63,VE,1659200119
Krk,45.0258,14.5731,83.39,56,6,7.43,HR,1659200121
Indian Head,38.6001,-77.1622,88.05,49,0,6.91,US,1659200123
Kapoeta,4.7717,33.5903,71.13,90,97,6.87,SS,1659200125
Ryōtsu-minato,38.0833,138.4333,78.49,82,0,0.83,JP,1659200128
Fuyu,45.1833,124.8167,71.33,97,6,8.46,CN,1659200130
Torremolinos,36.6204,-4.4998,85.82,72,20,8.05,ES,1659200133
Yuancheng,36.652,107.7896,70.39,77,78,5.53,CN,1659200135
The Pas,53.8251,-101.2541,64.42,94,100,4.61,CA,1659200137
Krutinka,56.0055,71.5113,59.22,95,28,7.87,RU,1659200140
Champerico,14.3,-91.9167,90.14,74,67,6.42,GT,1659200142
Jalu,29.0331,21.5482,96.51,13,0,10.18,LY,1659200144
Kropotkin,45.4375,40.5756,84.02,39,40,13.33,RU,1659200147
Dori,14.0354,-0.0345,94.08,35,1,9.35,BF,1659200149
Guerrero Negro,27.9769,-114.0611,77.07,54,56,6.15,MX,1659200151
Palu,-0.8917,119.8707,76.12,96,98,1.81,ID,1659200154
Kahului,20.8947,-156.47,71.62,68,20,6.91,US,1659199987
Caraquet,47.7941,-64.9386,68.54,65,39,8.66,CA,1659200158
Taylorville,39.5489,-89.2945,79.79,50,40,0.0,US,1659200039
San Cristobal,7.7669,-72.225,80.78,44,33,7.76,VE,1659200162
Freeport,40.6576,-73.5832,88.57,41,6,5.99,US,1659200165
Aljezur,37.3191,-8.8033,76.6,61,4,7.27,PT,1659200167
Pangnirtung,66.1451,-65.7125,60.8,59,75,14.97,CA,1659200169
Estelle,29.8458,-90.1067,91.0,71,75,11.5,US,1659200172
Kościan,52.0883,16.6487,64.33,95,100,11.63,PL,1659200174
Bintulu,3.1667,113.0333,77.41,100,20,0.0,MY,1659200062
Broome,42.2506,-75.833,79.7,56,75,11.5,US,1659199911
Lukovetskiy,64.2956,41.9211,61.9,90,99,5.39,RU,1659200181
Cabo San Lucas,22.8909,-109.9124,84.9,56,94,4.88,MX,1659200183
Sault Ste. Marie,46.5168,-84.3333,71.42,64,40,5.75,CA,1659200185
Newcastle,-32.9272,151.7765,50.72,93,19,3.44,AU,1659200188
Severo-Kuril'sk,50.6789,156.125,51.94,93,80,7.05,RU,1659200190
Fortuna,40.5982,-124.1573,60.66,97,100,0.0,US,1659200192
Udachny,66.4167,112.4,66.45,88,98,4.32,RU,1659200195
Toshkivka,48.7791,38.579,75.85,36,64,13.49,UA,1659200197
Alofi,-19.0595,-169.9187,73.29,88,2,9.22,NU,1659200199
Lobito,-12.3481,13.5456,69.73,82,8,8.25,AO,1659200202
Gumdag,39.2061,54.5906,87.31,40,0,13.58,TM,1659200204
Manokwari,-0.8667,134.0833,79.7,72,99,7.0,ID,1659200206
Inuvik,68.3499,-133.7218,41.86,84,75,5.75,CA,1659200209
Pinega,64.7001,43.3936,61.43,90,93,5.1,RU,1659200211
Jatai,-17.8814,-51.7144,82.44,31,0,4.54,BR,1659200213
Mayya,61.7333,130.2811,69.12,88,80,4.97,RU,1659200216
Biak,-0.9131,122.8766,74.93,89,80,6.22,ID,1659200218
Forsytheganj,52.6333,29.7333,68.67,71,93,6.24,BY,1659200220
Libreville,0.3925,9.4537,76.77,76,41,9.98,GA,1659200223
Tezu,27.9167,96.1667,76.46,98,79,3.13,IN,1659200225
Najrān,17.4924,44.1277,95.65,31,93,11.54,SA,1659200227
El Batey,19.7667,-70.5167,87.78,70,75,17.27,DO,1659200230
Gouré,13.9835,10.2704,76.17,62,96,14.14,NE,1659200232
Lodja,-3.4833,23.4333,77.5,64,71,3.6,CD,1659200234
Codrington,-38.2667,141.9667,49.1,76,100,16.96,AU,1659200237
Trat,12.5,102.5,87.13,93,92,1.28,TH,1659200239
Torbay,47.6666,-52.7314,68.95,92,100,19.57,CA,1659200242
Safi,32.2994,-9.2372,78.21,68,0,21.72,MA,1659200244
Sept-Îles,50.2001,-66.3821,68.52,85,75,9.22,CA,1659200247
Bafoulabé,13.8065,-10.8321,81.77,75,99,5.91,ML,1659200249
Asău,46.4333,26.4,74.32,83,74,3.62,RO,1659200251
Moussoro,13.6408,16.4901,88.97,46,88,11.12,TD,1659200253
Beian,63.6559,9.5683,67.98,82,40,11.5,NO,1659200256
Aseri,59.4506,26.8675,63.75,64,5,13.33,EE,1659200258
Azángaro,-14.9167,-70.2167,62.15,11,63,5.44,PE,1659200260
Paamiut,61.994,-49.6678,42.49,96,96,9.4,GL,1659200263
Pangai,-19.8,-174.35,77.05,88,5,19.01,TO,1659200265
Launceston,-41.45,147.1667,47.16,86,100,9.22,AU,1659200268
Rengo,-34.4167,-70.8667,48.52,63,100,4.05,CL,1659200270
Kysyl-Syr,63.8986,122.7617,63.21,92,62,4.68,RU,1659200272
Touros,-5.1989,-35.4608,77.99,83,78,11.61,BR,1659200274
